mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
daytrade,2464,盟立,TSE,B,100.0,170.5,174.76,169.48,170500.0,3703.0,1565.0,2.37,5.57,1.86,3.65,0.293,2011,338786000.0,11,11,9,22,5,"above_open,near_day_high,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
daytrade,6282,康舒,TSE,B,100.0,60.7,62.22,60.34,60700.0,1322.0,554.0,2.39,5.38,1.91,3.41,0.165,4761,284648000.0,12,11,10,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
daytrade,3481,群創,TSE,A,94.5,66.5,68.16,66.1,66500.0,1443.0,613.0,2.36,1.84,1.68,0.15,0.15,51883,3457129300.0,18,7,10,14,5,"above_open,theme:panel,theme_breadth,theme_holds_open,theme_volume,theme_avg_up"
daytrade,5371,中光電,OTC,A,91.8,97.4,99.83,96.82,97400.0,2112.0,891.0,2.37,4.51,0.97,3.51,0.205,7049,680092100.0,15,9,9,14,5,"above_open,near_day_high,strong_momentum,theme:panel,theme_breadth,theme_holds_open,theme_volume,theme_avg_up"
daytrade,2344,華邦電,TSE,A,84.9,180.5,185.01,179.42,180500.0,3920.0,1657.0,2.37,2.27,2.83,-0.55,0.277,29436,5323279000.0,17,8,5,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_volume,theme_avg_up"
daytrade,5351,鈺創,OTC,A,84.9,99.6,102.09,99.0,99600.0,2164.0,918.0,2.36,1.43,4.89,-3.3,0.1,13529,1364413700.0,18,6,6,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_volume,theme_avg_up"
daytrade,1802,台玻,TSE,A,80.8,68.8,70.52,68.39,68800.0,1495.0,630.0,2.37,5.85,2.0,3.77,0.145,12172,832715300.0,18,11,10,0,5,"above_open,near_day_high,strong_momentum"
daytrade,3707,漢磊,OTC,A,80.8,86.9,89.07,86.38,86900.0,1886.0,798.0,2.36,9.31,8.43,0.81,0.115,8425,731544200.0,16,13,10,0,5,"above_open,near_day_high,strong_momentum"
daytrade,2618,長榮航,TSE,B,79.5,40.8,41.82,40.56,40800.0,887.0,370.0,2.39,3.03,1.01,2.0,0.123,15753,637242400.0,18,10,10,0,5,above_open
daytrade,1301,台塑,TSE,B,78.1,59.3,60.78,58.94,59300.0,1286.0,550.0,2.34,8.21,2.19,5.89,0.169,13293,771664400.0,18,13,8,0,3,"above_open,near_day_high,strong_momentum"
daytrade,6505,台塑化,TSE,B,78.1,62.3,63.86,61.93,62300.0,1356.0,569.0,2.38,5.95,2.89,2.98,0.161,6278,390082300.0,14,13,10,0,5,"above_open,strong_momentum"
daytrade,2337,旺宏,TSE,B,74.0,145.5,149.14,144.63,145500.0,3164.0,1335.0,2.37,1.39,1.74,-0.34,0.344,8827,1283126500.0,15,4,3,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_volume,theme_avg_up"
daytrade,2363,矽統,TSE,B,74.0,67.8,69.49,67.39,67800.0,1468.0,627.0,2.34,3.35,2.74,0.59,0.147,2556,174657000.0,12,12,10,0,5,above_open
daytrade,2340,台亞,TSE,B,72.6,38.7,39.67,38.47,38700.0,843.0,354.0,2.38,6.03,4.38,1.57,0.129,2036,79250850.0,10,13,10,0,5,above_open
daytrade,2881,富邦金,TSE,B,72.6,126.0,129.15,125.24,126000.0,2738.0,1163.0,2.36,1.2,0.8,0.4,0.397,1511,189660500.0,9,5,7,12,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_holds_open,theme_volume,theme_mild_up"
daytrade,3149,正達,TSE,B,72.6,94.8,97.17,94.23,94800.0,2060.0,873.0,2.36,5.92,1.68,4.18,0.105,3599,335669000.0,12,11,10,0,5,"above_open,near_day_high,strong_momentum"
daytrade,1815,富喬,OTC,B,72.6,98.9,101.37,98.31,98900.0,2147.0,906.0,2.37,4.11,1.05,3.02,0.101,3858,380898700.0,12,11,10,0,5,"above_open,strong_momentum"
daytrade,8112,至上,TSE,B,71.2,88.1,90.3,87.57,88100.0,1912.0,812.0,2.36,3.65,2.12,1.5,0.227,4647,411611100.0,11,12,9,0,5,above_open
