mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
pre_breakout_watch,6282,康舒,TSE,B,93.2,60.7,64.65,59.49,60700.0,3649.0,1491.0,2.45,5.38,1.91,3.41,0.165,4761,284648000.0,12,11,20,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
pre_breakout_watch,2353,宏碁,TSE,B,84.1,32.95,35.09,32.29,32950.0,1977.0,813.0,2.43,1.38,0.77,0.61,0.152,3070,100891800.0,10,5,20,22,5,"above_open,theme:hot_ai_server_supply_chain,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
pre_breakout_watch,2883,凱基金,TSE,B,70.5,30.5,32.48,29.89,30500.0,1829.0,751.0,2.43,1.5,0.17,1.33,0.164,4686,141935900.0,10,5,20,12,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_holds_open,theme_volume,theme_mild_up,open_above_ma5"
