watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch_with_breakout,4,3704,合勤控,TSE,"stable,daytrade,overnight,weekly","B,A,A,A",78.5,70.7,49.7,50.94,49.4,1078.0,2.17,9.59,10270,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,near_day_high,short_trend_up,stable_20d_up"
core_watch_strong,3,2464,盟立,TSE,"daytrade,overnight,weekly","A,A,A",90.4,83.8,167.0,171.17,166.0,3624.0,2.17,3.41,7933,"above_open,hot_theme,theme:hot_robotics_automation,theme_avg_up,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch,3,3033,威健,TSE,"daytrade,overnight,weekly","B,A,A",79.4,78.1,51.8,53.09,51.49,1121.0,2.17,4.44,17629,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum,volume_expansion"
core_watch,3,6505,台塑化,TSE,"daytrade,overnight,weekly","B,A,A",79.4,78.1,63.0,64.57,62.62,1364.0,2.17,7.14,19214,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum,volume_expansion"
core_watch,3,5371,中光電,OTC,"daytrade,overnight,weekly","B,A,A",78.9,76.7,99.1,101.58,98.51,2156.0,2.17,6.33,29722,"above_ma10,above_ma5,above_open,ma_alignment,near_day_high,short_trend_up,strong_momentum,theme:panel,theme_mild_up,theme_volume"
core_watch,3,3707,漢磊,OTC,"daytrade,overnight,weekly","A,B,B",77.3,75.0,86.5,88.66,85.98,1877.0,2.17,8.81,19650,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,strong_momentum"
core_watch,3,2886,兆豐金,TSE,"daytrade,overnight,weekly","B,B,B",74.2,72.6,47.05,48.23,46.77,1026.0,2.17,0.75,6231,"above_ma10,above_ma5,above_open,ma_alignment,near_day_high,short_trend_up,theme:finance,theme_breadth,theme_holds_open,theme_volume"
core_watch,3,3149,正達,TSE,"daytrade,overnight,weekly","B,B,B",73.5,71.2,92.5,94.81,91.94,2008.0,2.16,3.35,7856,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up"
core_watch,3,4916,事欣科,TSE,"daytrade,overnight,weekly","B,B,B",73.0,72.5,115.0,117.87,114.31,2494.0,2.17,6.48,7196,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
core_watch,3,2630,亞航,TSE,"daytrade,overnight,weekly","B,B,B",72.5,72.5,56.3,57.71,55.96,1226.0,2.16,4.45,5992,"above_ma10,above_ma20,above_ma5,above_open,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
priority_watch,2,2359,所羅門,TSE,"overnight,weekly","A,A",100.0,100.0,151.5,159.08,149.23,6837.0,2.17,9.78,9819,"above_open,hot_theme,near_day_high,strong_momentum,theme:hot_robotics_automation,theme_breadth,theme_holds_open,theme_strong_peers"
priority_watch,2,8222,寶一,TSE,"overnight,weekly","B,B",93.2,92.5,41.75,43.84,41.12,1885.0,2.17,4.38,1457,"above_open,hot_theme,theme:hot_defense_drone,theme_avg_up,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
priority_watch,2,5351,鈺創,OTC,"overnight,weekly","B,A",81.9,78.8,102.0,107.1,100.47,4600.0,2.17,3.87,42269,"above_ma10,above_ma20,above_ma5,five_day_price_up,five_day_volume_up,hot_theme,ma5_gt_ma10,short_trend_up,theme:hot_memory_hbm,theme_volume"
priority_watch,2,5347,世界,OTC,"daytrade,overnight","A,B",76.7,72.5,182.0,186.55,180.91,3955.0,2.29,5.2,15682,"above_ma5,above_open,strong_momentum"
priority_watch,2,3016,嘉晶,TSE,"overnight,weekly","B,B",75.0,72.5,133.0,139.65,131.0,5998.0,2.17,9.47,12957,"above_ma10,above_ma20,above_ma5,daily_close_near_high,five_day_price_up,near_day_high,strong_momentum"
priority_watch,2,2890,永豐金,TSE,"overnight,weekly","B,B",75.0,73.8,40.55,42.58,39.94,1831.0,2.16,0.25,10103,"above_ma10,above_ma20,ma5_gt_ma10,ma_alignment,theme:finance,theme_breadth,theme_holds_open,theme_volume"
priority_watch,2,2885,元大金,TSE,"overnight,weekly","B,B",74.3,71.2,68.7,72.14,67.67,3103.0,2.17,0.59,6488,"above_ma10,above_ma20,five_day_price_up,ma5_gt_ma10,ma_alignment,theme:finance,theme_breadth,theme_holds_open,theme_volume"
priority_watch,2,6182,合晶,OTC,"overnight,weekly","B,B",74.3,71.2,187.5,196.88,184.69,8461.0,2.17,8.7,53882,"above_ma10,above_ma20,above_ma5,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
priority_watch,2,1802,台玻,TSE,"daytrade,overnight","B,B",74.0,70.0,66.8,68.47,66.4,1452.0,2.3,2.77,28093,"above_ma5,above_open"
priority_watch,2,3019,亞光,TSE,"daytrade,overnight","B,B",71.2,71.2,148.5,152.21,147.61,3225.0,2.29,3.48,3453,"above_ma10,above_ma5,above_open,ma5_gt_ma10"
priority_watch,2,7714,創泓科技,OTC,"overnight,weekly","B,B",71.2,71.2,183.0,192.15,180.25,8253.0,2.17,6.09,2019,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
