mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,6282,康舒,TSE,B,100.0,60.7,65.56,58.88,60700.0,4555.0,2099.0,2.17,5.38,1.91,3.41,0.165,4761,284648000.0,12,11,20,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
weekly,5351,鈺創,OTC,A,100.0,99.6,107.57,96.61,99600.0,7470.0,3448.0,2.17,1.43,4.89,-3.3,0.1,13529,1364413700.0,18,6,20,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_volume,theme_avg_up,short_trend_up,five_day_price_up"
weekly,2359,所羅門,TSE,B,98.8,148.0,159.84,143.56,148000.0,11097.0,5120.0,2.17,7.25,2.9,4.23,0.338,1470,213588500.0,9,13,20,22,5,"above_open,near_day_high,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
weekly,2464,盟立,TSE,B,92.5,170.5,184.14,165.38,170500.0,12784.0,5903.0,2.17,5.57,1.86,3.65,0.293,2011,338786000.0,11,11,15,22,5,"above_open,near_day_high,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
weekly,5371,中光電,OTC,A,91.2,97.4,105.19,94.48,97400.0,7301.0,3367.0,2.17,4.51,0.97,3.51,0.205,7049,680092100.0,15,9,20,14,5,"above_open,near_day_high,strong_momentum,theme:panel,theme_breadth,theme_holds_open,theme_volume,theme_avg_up"
weekly,2344,華邦電,TSE,A,83.8,180.5,194.94,175.09,180500.0,13534.0,6239.0,2.17,2.27,2.83,-0.55,0.277,29436,5323279000.0,17,8,5,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_volume,theme_avg_up"
weekly,3481,群創,TSE,A,83.8,66.5,71.82,64.5,66500.0,4986.0,2306.0,2.16,1.84,1.68,0.15,0.15,51883,3457129300.0,18,7,13,14,5,"above_open,theme:panel,theme_breadth,theme_holds_open,theme_volume,theme_avg_up,above_ma20"
weekly,2885,元大金,TSE,B,81.2,69.5,75.06,67.41,69500.0,5211.0,2409.0,2.16,1.76,2.64,-0.86,0.144,2530,176694500.0,12,6,20,12,5,"theme:finance,theme_breadth,theme_holds_open,theme_volume,theme_mild_up,short_trend_up,ma_alignment,five_day_price_up"
weekly,1301,台塑,TSE,A,80.0,59.3,64.04,57.52,59300.0,4442.0,2052.0,2.16,8.21,2.19,5.89,0.169,13293,771664400.0,18,13,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,above_ma20"
weekly,1605,華新,TSE,B,77.5,35.1,37.91,34.05,35100.0,2634.0,1211.0,2.17,2.03,1.16,0.86,0.142,1436,50364350.0,8,9,8,22,5,"above_open,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
