mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,2464,盟立,TSE,A,85.0,166.0,179.28,161.02,166000.0,12447.0,5743.0,2.17,2.79,1.86,0.91,0.301,13764,2326769000.0,17,9,7,22,3,"above_open,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
weekly,8222,寶一,TSE,B,83.8,41.35,44.66,40.11,41350.0,3102.0,1430.0,2.17,3.38,1.62,1.72,0.121,2897,120815100.0,10,10,10,22,5,"above_open,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,2881,富邦金,TSE,A,82.5,127.0,137.16,123.19,127000.0,9523.0,4393.0,2.17,2.01,0.8,1.2,0.394,24182,3058259500.0,17,7,17,10,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_holds_open,theme_volume,short_trend_up,five_day_price_up"
weekly,2892,第一金,TSE,A,82.5,33.65,36.34,32.64,33650.0,2521.0,1165.0,2.16,0.15,1.19,-1.03,0.297,19067,642043350.0,17,4,20,10,5,"theme:finance,theme_breadth,theme_holds_open,theme_volume,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,2886,兆豐金,TSE,A,80.0,47.0,50.76,45.59,47000.0,3524.0,1626.0,2.17,0.64,0.0,0.64,0.106,26732,1256845300.0,18,1,20,10,5,"above_open,theme:finance,theme_breadth,theme_holds_open,theme_volume,short_trend_up,ma_alignment,five_day_price_up"
weekly,6505,台塑化,TSE,A,80.0,63.1,68.15,61.21,63100.0,4733.0,2180.0,2.17,7.31,2.89,4.3,0.158,33174,2095462600.0,18,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,5371,中光電,OTC,A,80.0,95.3,102.92,92.44,95300.0,7142.0,3298.0,2.17,2.25,0.97,1.28,0.105,48286,4714279100.0,18,7,20,6,3,"above_open,theme:panel,theme_holds_open,theme_volume,ma_alignment,five_day_volume_up,above_ma20"
weekly,4916,事欣科,TSE,B,76.2,118.0,127.44,114.46,118000.0,8848.0,4082.0,2.17,9.26,4.17,4.89,0.424,21312,2478092000.0,15,13,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,5876,上海商銀,TSE,B,76.2,44.15,47.68,42.83,44150.0,3308.0,1523.0,2.17,3.15,0.93,2.2,0.113,25858,1136314950.0,18,8,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,1536,和大,TSE,B,75.0,56.1,60.59,54.42,56100.0,4208.0,1938.0,2.17,2.0,0.73,1.26,0.178,13201,740633400.0,18,7,20,0,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
