mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,2634,漢翔,TSE,A,100.0,67.1,72.47,65.09,67100.0,5033.0,2318.0,2.17,5.17,3.45,1.67,0.149,138680,9225926500.0,18,13,20,22,3,"above_open,strong_momentum,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
weekly,1301,台塑,TSE,A,80.0,63.6,68.69,61.69,63600.0,4771.0,2202.0,2.17,5.65,2.16,3.41,0.157,139925,8631366500.0,18,13,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6505,台塑化,TSE,A,80.0,66.2,71.5,64.21,66200.0,4968.0,2294.0,2.17,4.91,2.69,2.16,0.151,49417,3264848400.0,18,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,4541,晟田,OTC,B,77.5,70.6,76.25,68.48,70600.0,5296.0,2444.0,2.17,5.22,1.79,3.37,0.142,36485,2515995700.0,18,11,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,1326,台化,TSE,B,76.2,67.0,72.36,64.99,67000.0,5024.0,2318.0,2.17,3.08,0.46,2.6,0.149,94237,6183116100.0,18,8,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,6477,安集,TSE,B,72.5,41.5,44.82,40.25,41500.0,3112.0,1441.0,2.16,2.34,0.37,1.97,0.12,15365,651836850.0,18,7,20,0,3,"above_open,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,5876,上海商銀,TSE,B,71.2,44.7,48.28,43.36,44700.0,3356.0,1545.0,2.17,1.25,0.57,0.68,0.224,17209,761364700.0,17,5,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,5388,中磊,TSE,B,70.0,85.7,92.56,83.13,85700.0,6430.0,2964.0,2.17,0.35,-1.17,1.54,0.117,4400,371943100.0,12,1,20,8,5,"above_open,near_day_high,theme:hot_networking_optical,hot_theme,theme_volume,short_trend_up,ma_alignment,five_day_price_up"
