mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
overnight,2634,漢翔,TSE,A,100.0,68.7,72.14,67.67,68700.0,3103.0,1350.0,2.3,7.68,3.45,4.09,0.291,37983,2551179500.0,17,13,20,22,3,"above_open,near_day_high,strong_momentum,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
overnight,5351,鈺創,OTC,B,97.5,102.5,107.62,100.96,102500.0,4617.0,2017.0,2.29,2.5,2.0,0.49,0.488,7676,784310000.0,13,11,19,22,3,"above_open,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
overnight,2337,旺宏,TSE,A,92.5,141.0,148.05,138.88,141000.0,6359.0,2776.0,2.29,2.17,1.81,0.36,0.355,9633,1362619000.0,15,9,13,22,5,"above_open,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
overnight,6505,台塑化,TSE,A,80.0,66.4,69.72,65.4,66400.0,2994.0,1309.0,2.29,5.23,2.69,2.47,0.151,9985,652224200.0,16,13,20,0,5,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,5371,中光電,OTC,A,80.0,98.5,103.43,97.02,98500.0,4447.0,1938.0,2.29,3.36,1.78,1.55,0.102,9968,972352800.0,16,10,20,3,5,"above_open,near_day_high,theme:panel,theme_volume,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,2344,華邦電,TSE,B,78.8,169.5,177.97,166.96,169500.0,7639.0,3329.0,2.29,1.5,1.8,-0.29,0.295,20474,3488272000.0,17,4,5,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
overnight,8039,台虹,TSE,B,78.8,185.0,194.25,182.22,185000.0,8343.0,3641.0,2.29,9.47,2.37,6.94,0.27,16810,3019742000.0,17,13,20,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,4541,晟田,OTC,B,75.0,71.8,75.39,70.72,71800.0,3238.0,1414.0,2.29,7.0,1.79,5.12,0.139,7620,525997900.0,16,11,20,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,1326,台化,TSE,B,72.5,66.0,69.3,65.01,66000.0,2976.0,1297.0,2.29,1.54,0.46,1.07,0.152,23509,1544451500.0,18,5,20,0,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10"
