mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,2634,漢翔,TSE,A,98.8,66.6,71.93,64.6,66600.0,4996.0,2306.0,2.17,4.39,3.45,0.91,0.3,77865,5224156000.0,17,13,20,16,3,"above_open,strong_momentum,theme:hot_defense_drone,hot_theme,theme_breadth,theme_holds_open,theme_volume,short_trend_up"
weekly,1301,台塑,TSE,A,80.0,62.0,66.96,60.14,62000.0,4649.0,2145.0,2.17,2.99,2.16,0.81,0.161,77502,4756270000.0,18,11,20,0,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6505,台塑化,TSE,A,80.0,66.4,71.71,64.41,66400.0,4977.0,2295.0,2.17,5.23,2.69,2.47,0.151,26359,1741163300.0,18,13,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2630,亞航,TSE,B,77.5,61.7,66.64,59.85,61700.0,4630.0,2133.0,2.17,8.82,1.41,7.3,0.162,22255,1365647000.0,18,11,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
