mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
overnight,2634,漢翔,TSE,A,100.0,67.1,70.45,66.09,67100.0,3021.0,1322.0,2.28,5.17,3.45,1.67,0.149,138680,9225926500.0,18,13,20,22,3,"above_open,strong_momentum,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
overnight,1301,台塑,TSE,A,80.0,63.6,66.78,62.65,63600.0,2868.0,1246.0,2.3,5.65,2.16,3.41,0.157,139925,8631366500.0,18,13,20,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,6505,台塑化,TSE,A,80.0,66.2,69.51,65.21,66200.0,2985.0,1298.0,2.3,4.91,2.69,2.16,0.151,49417,3264848400.0,18,13,20,0,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,4541,晟田,OTC,B,77.5,70.6,74.13,69.54,70600.0,3184.0,1388.0,2.29,5.22,1.79,3.37,0.142,36485,2515995700.0,18,11,20,0,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,1326,台化,TSE,B,76.2,67.0,70.35,66.0,67000.0,3022.0,1312.0,2.3,3.08,0.46,2.6,0.149,94237,6183116100.0,18,8,20,0,5,"above_open,near_day_high,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,6477,安集,TSE,B,72.5,41.5,43.58,40.88,41500.0,1877.0,813.0,2.31,2.34,0.37,1.97,0.12,15365,651836850.0,18,7,20,0,3,"above_open,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,5314,世紀*,OTC,B,72.5,68.2,71.61,67.18,68200.0,3076.0,1337.0,2.3,5.74,0.78,4.92,0.147,11607,769990800.0,18,9,18,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,daily_close_near_high"
overnight,5876,上海商銀,TSE,B,71.2,44.7,46.94,44.03,44700.0,2021.0,878.0,2.3,1.25,0.57,0.68,0.224,17209,761364700.0,17,5,20,0,5,"above_open,near_day_high,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,2388,威盛,TSE,B,70.0,72.2,75.81,71.12,72200.0,3256.0,1416.0,2.3,3.0,0.29,2.7,0.277,7736,555464200.0,15,7,19,0,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10"
overnight,5388,中磊,TSE,B,70.0,85.7,89.99,84.41,85700.0,3870.0,1689.0,2.29,0.35,-1.17,1.54,0.117,4400,371943100.0,12,1,20,8,5,"above_open,near_day_high,theme:hot_networking_optical,hot_theme,theme_volume,above_ma5,above_ma10,ma5_gt_ma10"
