watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch_strong,3,2634,漢翔,TSE,"daytrade,overnight,weekly","A,A,A",100.0,100.0,68.7,70.42,68.29,1495.0,2.17,7.68,37983,"above_open,hot_theme,near_day_high,strong_momentum,theme:hot_defense_drone,theme_breadth,theme_holds_open,theme_strong_peers"
core_watch,3,5351,鈺創,OTC,"daytrade,overnight,weekly","B,B,B",98.8,97.5,102.5,105.06,101.89,2225.0,2.16,2.5,7676,"above_open,hot_theme,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch_strong,3,2337,旺宏,TSE,"daytrade,overnight,weekly","A,A,A",94.6,91.2,141.0,144.52,140.15,3059.0,2.17,2.17,9633,"above_open,hot_theme,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch_strong,3,6505,台塑化,TSE,"daytrade,overnight,weekly","A,A,A",80.3,80.0,66.4,68.06,66.0,1443.0,2.17,5.23,9985,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
core_watch_strong,3,5371,中光電,OTC,"daytrade,overnight,weekly","A,A,A",80.3,80.0,98.5,100.96,97.91,2138.0,2.17,3.36,9968,"above_ma10,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
core_watch,3,2344,華邦電,TSE,"daytrade,overnight,weekly","B,B,B",79.0,78.8,169.5,173.74,168.48,3686.0,2.17,1.5,20474,"hot_theme,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch,3,8039,台虹,TSE,"daytrade,overnight,weekly","B,B,B",77.6,75.3,185.0,189.62,183.89,4015.0,2.17,9.47,16810,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high"
core_watch,3,4541,晟田,OTC,"daytrade,overnight,weekly","B,B,B",74.2,72.6,71.8,73.59,71.37,1555.0,2.17,7.0,7620,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high"
core_watch,3,1326,台化,TSE,"daytrade,overnight,weekly","B,B,B",72.5,72.5,66.0,67.65,65.6,1434.0,2.17,1.54,23509,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
