mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,2634,漢翔,TSE,A,100.0,68.7,74.2,66.64,68700.0,5155.0,2376.0,2.17,7.68,3.45,4.09,0.291,37983,2551179500.0,17,13,20,22,3,"above_open,near_day_high,strong_momentum,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
weekly,5351,鈺創,OTC,B,98.8,102.5,110.7,99.42,102500.0,7686.0,3551.0,2.16,2.5,2.0,0.49,0.488,7676,784310000.0,13,11,20,22,3,"above_open,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
weekly,2337,旺宏,TSE,A,91.2,141.0,152.28,136.77,141000.0,10572.0,4878.0,2.17,2.17,1.81,0.36,0.355,9633,1362619000.0,15,9,12,22,5,"above_open,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
weekly,6505,台塑化,TSE,A,80.0,66.4,71.71,64.41,66400.0,4977.0,2295.0,2.17,5.23,2.69,2.47,0.151,9985,652224200.0,16,13,20,0,5,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,5371,中光電,OTC,A,80.0,98.5,106.38,95.55,98500.0,7386.0,3403.0,2.17,3.36,1.78,1.55,0.102,9968,972352800.0,16,10,20,3,5,"above_open,near_day_high,theme:panel,theme_volume,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up"
weekly,2344,華邦電,TSE,B,78.8,169.5,183.06,164.41,169500.0,12709.0,5869.0,2.17,1.5,1.8,-0.29,0.295,20474,3488272000.0,17,4,5,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
weekly,8039,台虹,TSE,B,78.8,185.0,199.8,179.45,185000.0,13872.0,6400.0,2.17,9.47,2.37,6.94,0.27,16810,3019742000.0,17,13,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,4541,晟田,OTC,B,75.0,71.8,77.54,69.65,71800.0,5380.0,2480.0,2.17,7.0,1.79,5.12,0.139,7620,525997900.0,16,11,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,1301,台塑,TSE,B,73.8,60.7,65.56,58.88,60700.0,4555.0,2099.0,2.17,0.83,2.16,-1.3,0.165,24461,1483256600.0,18,6,20,0,5,"short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,1326,台化,TSE,B,72.5,66.0,71.28,64.02,66000.0,4949.0,2283.0,2.17,1.54,0.46,1.07,0.152,23509,1544451500.0,18,5,20,0,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
