mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
daytrade,2337,旺宏,TSE,A,100.0,141.0,144.52,140.15,141000.0,3059.0,1301.0,2.35,2.17,1.81,0.36,0.355,9633,1362619000.0,15,9,9,22,5,"above_open,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
daytrade,2634,漢翔,TSE,A,100.0,68.7,70.42,68.29,68700.0,1495.0,630.0,2.38,7.68,3.45,4.09,0.291,37983,2551179500.0,17,13,7,22,3,"above_open,near_day_high,strong_momentum,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
daytrade,5351,鈺創,OTC,B,100.0,102.5,105.06,101.89,102500.0,2225.0,938.0,2.37,2.5,2.0,0.49,0.488,7676,784310000.0,13,11,9,22,3,"above_open,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
daytrade,6505,台塑化,TSE,A,80.8,66.4,68.06,66.0,66400.0,1443.0,612.0,2.36,5.23,2.69,2.47,0.151,9985,652224200.0,16,13,10,0,5,"above_open,near_day_high,strong_momentum"
daytrade,5371,中光電,OTC,A,80.8,98.5,100.96,97.91,98500.0,2138.0,905.0,2.36,3.36,1.78,1.55,0.102,9968,972352800.0,16,10,10,3,5,"above_open,near_day_high,theme:panel,theme_volume"
daytrade,2344,華邦電,TSE,B,79.5,169.5,173.74,168.48,169500.0,3686.0,1562.0,2.36,1.5,1.8,-0.29,0.295,20474,3488272000.0,17,4,5,22,5,"theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
daytrade,8039,台虹,TSE,B,75.3,185.0,189.62,183.89,185000.0,4015.0,1701.0,2.36,9.47,2.37,6.94,0.27,16810,3019742000.0,17,13,7,0,3,"above_open,near_day_high,strong_momentum"
daytrade,1326,台化,TSE,B,72.6,66.0,67.65,65.6,66000.0,1434.0,611.0,2.35,1.54,0.46,1.07,0.152,23509,1544451500.0,18,5,10,0,5,above_open
daytrade,4541,晟田,OTC,B,72.6,71.8,73.59,71.37,71800.0,1555.0,659.0,2.36,7.0,1.79,5.12,0.139,7620,525997900.0,16,11,8,0,3,"above_open,near_day_high,strong_momentum"
