watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch_strong,3,2634,漢翔,TSE,"daytrade,overnight,weekly","A,A,A",100.0,100.0,67.1,68.78,66.7,1461.0,2.17,5.17,138680,"above_open,hot_theme,strong_momentum,theme:hot_defense_drone,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch,3,1301,台塑,TSE,"daytrade,overnight,weekly","B,A,A",79.4,78.1,63.6,65.19,63.22,1382.0,2.17,5.65,139925,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
core_watch,3,6505,台塑化,TSE,"daytrade,overnight,weekly","B,A,A",79.4,78.1,66.2,67.86,65.8,1444.0,2.17,4.91,49417,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
core_watch,3,4541,晟田,OTC,"daytrade,overnight,weekly","B,B,B",76.8,75.3,70.6,72.36,70.18,1529.0,2.17,5.22,36485,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
core_watch,3,1326,台化,TSE,"daytrade,overnight,weekly","B,B,B",76.4,76.2,67.0,68.67,66.6,1451.0,2.17,3.08,94237,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high"
priority_watch,2,5314,世紀*,OTC,"daytrade,overnight","B,B",72.5,72.5,68.2,69.91,67.79,1487.0,2.3,5.74,11607,"above_ma10,above_ma5,above_open,daily_close_near_high,near_day_high,strong_momentum"
priority_watch,2,6477,安集,TSE,"overnight,weekly","B,B",72.5,72.5,41.5,43.58,40.88,1877.0,2.16,2.34,15365,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
priority_watch,2,5876,上海商銀,TSE,"overnight,weekly","B,B",71.2,71.2,44.7,46.94,44.03,2021.0,2.17,1.25,17209,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
priority_watch,2,5388,中磊,TSE,"overnight,weekly","B,B",70.0,70.0,85.7,89.99,84.41,3870.0,2.17,0.35,4400,"above_ma10,above_ma5,above_open,five_day_price_up,hot_theme,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up,theme:hot_networking_optical"
