mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
overnight,1504,東元,TSE,A,100.0,69.0,72.45,67.97,69000.0,3112.0,1351.0,2.3,8.49,4.4,3.92,0.145,19252,1315904100.0,18,13,20,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
overnight,1605,華新,TSE,A,100.0,35.0,36.75,34.48,35000.0,1578.0,683.0,2.31,5.26,1.65,3.55,0.143,22724,793254750.0,18,11,14,22,5,"above_open,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
overnight,2337,旺宏,TSE,A,100.0,148.5,155.93,146.27,148500.0,6702.0,2921.0,2.29,6.45,3.58,2.77,0.337,109080,16142760000.0,17,13,20,22,5,"above_open,strong_momentum,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
overnight,5388,中磊,TSE,A,100.0,89.4,93.87,88.06,89400.0,4032.0,1756.0,2.3,4.32,0.93,3.35,0.112,13075,1170149900.0,18,9,20,22,5,"above_open,strong_momentum,theme:hot_networking_optical,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
overnight,2881,富邦金,TSE,A,92.5,128.5,134.93,126.57,128500.0,5800.0,2528.0,2.29,2.8,1.2,1.58,0.389,27227,3493219500.0,17,9,19,14,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,above_ma5,above_ma10"
overnight,6282,康舒,TSE,A,92.5,56.2,59.01,55.36,56200.0,2534.0,1101.0,2.3,2.55,1.64,0.9,0.178,15516,874749900.0,18,9,10,22,5,"above_open,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
overnight,2344,華邦電,TSE,A,90.0,180.5,189.53,177.79,180500.0,8145.0,3550.0,2.29,9.73,6.69,2.85,999,93883,16859225000.0,15,13,9,22,3,"above_open,near_day_high,strong_momentum,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
overnight,3481,群創,TSE,A,90.0,58.5,61.43,57.62,58500.0,2643.0,1152.0,2.29,2.27,2.1,0.17,0.171,263884,15407548300.0,18,11,10,18,5,"above_open,theme:panel,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
overnight,4906,正文,TSE,B,87.5,38.8,40.74,38.22,38800.0,1750.0,761.0,2.3,3.19,0.93,2.24,0.129,3992,153078400.0,12,8,13,22,5,"above_open,near_day_high,theme:hot_networking_optical,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
overnight,1513,中興電,TSE,A,82.5,171.0,179.55,168.44,171000.0,7712.0,3356.0,2.3,4.27,-0.3,4.59,0.292,5184,869708000.0,15,5,9,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
overnight,5351,鈺創,OTC,A,82.5,104.5,109.73,102.93,104500.0,4718.0,2056.0,2.29,9.77,1.37,8.29,999,34558,3578185800.0,15,11,7,22,1,"above_open,near_day_high,strong_momentum,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
overnight,2027,大成鋼,TSE,A,80.0,41.3,43.37,40.68,41300.0,1867.0,812.0,2.3,5.63,1.02,4.56,0.121,23838,967365400.0,18,11,20,0,5,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,volume_expansion,daily_close_near_high"
overnight,2303,聯電,TSE,B,78.8,166.0,174.3,163.51,166000.0,7486.0,3262.0,2.29,9.93,4.97,4.73,0.301,108457,17662696000.0,17,13,20,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,volume_expansion,daily_close_near_high"
overnight,2618,長榮航,TSE,B,78.8,42.15,44.26,41.52,42150.0,1903.0,826.0,2.3,3.31,1.23,2.06,0.119,51951,2166085100.0,18,10,20,0,5,"above_open,near_day_high,above_ma5,above_ma10,daily_close_near_high"
overnight,3149,正達,TSE,B,78.8,90.2,94.71,88.85,90200.0,4068.0,1770.0,2.3,3.32,2.18,1.12,0.111,5705,511161000.0,16,12,20,0,5,"above_open,near_day_high,above_ma5,above_ma10,daily_close_near_high"
overnight,5347,世界,OTC,B,78.8,186.5,195.83,183.7,186500.0,8416.0,3668.0,2.29,7.18,2.3,4.78,0.268,35879,6595125500.0,17,13,20,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,volume_expansion,daily_close_near_high"
overnight,1326,台化,TSE,B,77.5,70.8,74.34,69.74,70800.0,3193.0,1389.0,2.3,5.67,1.64,3.96,0.141,123211,8661276300.0,18,11,20,0,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,2615,萬海,TSE,B,77.5,81.7,85.79,80.47,81700.0,3689.0,1610.0,2.29,2.9,1.26,1.62,0.122,10640,861062200.0,18,9,20,0,5,"above_open,near_day_high,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,2890,永豐金,TSE,B,77.5,39.95,41.95,39.35,39950.0,1804.0,786.0,2.3,0.76,0.38,0.38,0.125,32204,1287524800.0,18,2,13,14,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,ma5_gt_ma10"
overnight,1301,台塑,TSE,B,76.2,65.7,68.98,64.71,65700.0,2958.0,1296.0,2.28,3.3,0.63,2.66,0.152,145943,9503208600.0,18,8,20,0,5,"above_open,near_day_high,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,2359,所羅門,TSE,B,76.2,144.0,151.2,141.84,144000.0,6494.0,2830.0,2.29,1.05,3.16,-2.04,0.347,5288,764604000.0,15,6,5,20,5,"theme:hot_robotics_automation,hot_theme,theme_breadth,theme_holds_open,theme_volume,theme_avg_up"
overnight,5371,中光電,OTC,B,76.2,94.9,99.65,93.48,94900.0,4285.0,1862.0,2.3,0.64,1.17,-0.52,0.105,24849,2341020300.0,18,4,6,18,5,"theme:panel,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
overnight,2312,金寶,TSE,B,75.0,34.6,36.33,34.08,34600.0,1560.0,681.0,2.29,5.49,1.37,4.06,0.145,23228,794645400.0,18,11,18,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,daily_close_near_high"
overnight,2329,華泰,TSE,B,75.0,51.4,53.97,50.63,51400.0,2318.0,1009.0,2.3,6.09,0.31,5.76,0.195,4718,238671350.0,12,9,8,18,3,"above_open,near_day_high,strong_momentum,theme:testing_packaging,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
overnight,2634,漢翔,TSE,B,75.0,68.3,71.72,67.28,68300.0,3085.0,1338.0,2.31,1.79,-0.45,2.25,0.146,70045,4666400200.0,18,1,8,20,3,"above_open,near_day_high,theme:hot_defense_drone,hot_theme,theme_breadth,theme_holds_open,theme_volume,theme_avg_up"
overnight,2887,台新新光金,TSE,B,75.0,36.15,37.96,35.61,36150.0,1633.0,708.0,2.31,1.97,1.55,0.42,0.138,77982,2813587550.0,18,7,20,0,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10"
overnight,4919,新唐,TSE,B,75.0,168.5,176.93,165.97,168500.0,7604.0,3314.0,2.29,5.64,2.82,2.74,0.297,10880,1800230000.0,17,13,17,0,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,daily_close_near_high"
overnight,8222,寶一,TSE,B,75.0,41.95,44.05,41.32,41950.0,1894.0,825.0,2.3,1.57,1.45,0.12,0.119,1382,56922050.0,8,7,10,20,5,"above_open,near_day_high,theme:hot_defense_drone,hot_theme,theme_breadth,theme_holds_open,theme_volume,theme_avg_up"
