mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
stable,6282,康舒,TSE,A,89.1,59.7,63.28,58.51,59700.0,3285.0,1467.0,2.24,1.19,1.02,0.17,0.168,17618,1044554300.0,18,7,20,18,5,"above_open,near_day_high,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_holds_open,theme_volume,stable_short_trend"
stable,5388,中磊,TSE,B,87.0,85.5,90.63,83.79,85500.0,4708.0,2106.0,2.24,2.89,0.96,1.91,0.234,4425,380328000.0,11,7,20,22,5,"above_open,theme:hot_networking_optical,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
stable,2356,英業達,TSE,B,71.7,69.2,73.35,67.82,69200.0,3808.0,1701.0,2.24,4.53,4.23,0.29,0.145,99798,7125763400.0,18,13,20,0,5,"above_open,strong_momentum,stable_short_trend,stable_10d_up_not_hot,stable_20d_up,stable_near_ma20,stable_shallow_pullback,stable_volume_orderly"
