watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch_with_breakout,5,2359,所羅門,TSE,"pre_breakout,pre_breakout_watch,stable,overnight,weekly","B,B,B,B,B",82.6,78.3,139.0,145.95,136.91,6269.0,2.17,2.58,2715,"above_ma10,above_ma20,above_ma5,five_day_volume_up,hot_theme,ma5_gt_ma10,ma_alignment,open_above_ma10,open_above_ma20,open_above_ma5"
core_watch_strong,4,5388,中磊,TSE,"stable,daytrade,overnight,weekly","A,A,A,A",88.6,82.6,84.6,86.71,84.09,1833.0,2.17,1.81,6373,"above_ma10,above_ma5,above_open,five_day_price_up,hot_theme,short_trend_up,stable_10d_up_not_hot,stable_short_trend,theme:hot_networking_optical,theme_breadth"
core_watch_with_breakout,4,2377,微星,TSE,"pre_breakout,daytrade,overnight,weekly","B,B,B,B",74.8,71.6,145.0,148.62,144.13,3146.0,2.17,2.11,19738,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,kd_confirmed,ma5_gt_ma10,ma_alignment,near_prev_high_setup,open_above_ma10"
core_watch_strong,3,2337,旺宏,TSE,"daytrade,overnight,weekly","A,A,A",95.4,92.5,143.5,147.09,142.64,3121.0,2.17,3.61,62359,"above_open,hot_theme,theme:hot_memory_hbm,theme_avg_up,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch_strong,3,2344,華邦電,TSE,"daytrade,overnight,weekly","A,A,A",93.3,90.0,176.5,180.91,175.44,3833.0,2.17,4.75,157502,"above_open,hot_theme,strong_momentum,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch,3,3265,台星科,OTC,"daytrade,overnight,weekly","B,B,B",83.9,77.5,173.5,177.84,172.46,3773.0,2.17,2.97,1166,"above_open,five_day_volume_up,theme:testing_packaging,theme_avg_up,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch,3,2356,英業達,TSE,"daytrade,overnight,weekly","B,A,A",79.4,78.1,69.8,71.54,69.38,1512.0,2.17,5.44,143003,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,short_trend_up,strong_momentum,volume_expansion"
core_watch,3,2324,仁寶,TSE,"daytrade,overnight,weekly","B,B,B",79.0,78.8,36.6,37.52,36.38,800.0,2.17,3.1,68971,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,short_trend_up,volume_expansion"
core_watch,3,6214,精誠,TSE,"daytrade,overnight,weekly","B,B,B",78.6,78.1,143.5,147.09,142.64,3121.0,2.17,6.3,5052,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,short_trend_up,strong_momentum,volume_expansion"
core_watch,3,2887,台新新光金,TSE,"daytrade,overnight,weekly","B,B,B",77.7,77.5,36.85,37.77,36.63,800.0,2.16,2.79,111227,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
