ts,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount
2026-07-07T22:10:33,1315,達新,TSE,DayTrade.Yes,03,64.3,70.7,57.9,64.1,64.1,63.3,63.5,63.3,63.6,11,700000.0
2026-07-07T22:10:33,1316,上曜,TSE,DayTrade.Yes,14,10.75,11.8,9.68,10.75,10.75,10.35,10.35,10.35,10.4,1996,20903350.0
2026-07-07T22:10:33,1319,東陽,TSE,DayTrade.Yes,12,78.0,85.8,70.2,78.6,78.6,77.2,77.6,77.6,77.7,2935,228071300.0
2026-07-07T22:10:33,1321,大洋,TSE,DayTrade.Yes,03,32.1,35.3,28.9,32.2,32.2,31.4,31.6,31.6,31.65,97,3063700.0
2026-07-07T22:10:33,1323,永裕,TSE,DayTrade.Yes,03,20.5,22.55,18.45,20.3,20.5,19.9,20.15,20.05,20.15,80,1609700.0
2026-07-07T22:10:33,1324,地球,TSE,DayTrade.Yes,03,10.6,11.65,9.54,10.7,10.75,10.45,10.55,10.5,10.55,96,1013800.0
2026-07-07T22:10:33,1325,恆大,TSE,DayTrade.Yes,03,25.35,27.85,22.85,25.55,25.55,24.6,24.6,24.6,24.85,153,3820450.0
2026-07-07T22:10:33,1326,台化,TSE,DayTrade.Yes,03,67.6,74.3,60.9,66.8,66.8,63.3,63.3,63.3,63.4,52033,3376909800.0
2026-07-07T22:10:33,1337,再生-KY,TSE,DayTrade.Yes,03,5.55,6.1,5.0,5.54,5.54,5.17,5.17,5.17,5.18,1045,5533180.0
2026-07-07T22:10:33,1338,廣華-KY,TSE,DayTrade.OnlyBuy,12,17.65,19.4,15.9,17.65,17.65,17.2,17.45,17.25,17.45,181,3156600.0
2026-07-07T22:10:33,1339,昭輝,TSE,DayTrade.Yes,12,45.45,49.95,40.95,46.3,46.3,44.8,45.2,45.15,45.2,169,7649750.0
2026-07-07T22:10:33,1340,勝悅-KY,TSE,DayTrade.Yes,03,5.83,6.41,5.25,5.9,5.9,5.65,5.71,5.71,5.72,243,1391590.0
2026-07-07T22:10:33,1341,富林-KY,TSE,DayTrade.No,03,57.7,63.4,52.0,57.5,59.8,57.0,57.6,57.5,59.4,7,407800.0
2026-07-07T22:10:33,1342,八貫,TSE,DayTrade.Yes,20,116.5,128.0,105.0,115.5,116.5,112.5,113.0,113.0,113.5,628,71480000.0
2026-07-07T22:10:33,1402,遠東新,TSE,DayTrade.Yes,04,29.1,32.0,26.2,29.05,29.1,28.2,28.35,28.35,28.4,21627,616131550.0
2026-07-07T22:10:33,1409,新纖,TSE,DayTrade.Yes,04,30.25,33.25,27.25,31.35,33.25,30.8,31.7,31.7,31.75,204925,6673861350.0
2026-07-07T22:10:33,1410,南染,TSE,DayTrade.Yes,04,26.2,28.8,23.6,26.2,27.4,25.9,27.0,26.85,27.0,370,9753000.0
2026-07-07T22:10:33,1413,宏洲,TSE,DayTrade.No,04,9.5,10.45,8.55,9.5,9.5,9.3,9.43,9.33,9.44,14,131140.0
2026-07-07T22:10:33,1414,東和,TSE,DayTrade.Yes,04,19.55,21.5,17.6,19.55,19.7,19.25,19.5,19.45,19.5,151,2936400.0
2026-07-07T22:10:33,1416,廣豐,TSE,DayTrade.Yes,20,11.2,12.3,10.1,11.15,11.2,11.0,11.1,11.05,11.1,271,3005150.0
2026-07-07T22:10:33,1417,嘉裕,TSE,DayTrade.Yes,04,9.1,10.0,8.19,9.1,9.19,8.99,9.02,9.01,9.02,471,4265640.0
2026-07-07T22:10:33,1418,東華,TSE,DayTrade.Yes,04,18.55,20.4,16.7,18.6,18.8,18.2,18.3,18.2,18.35,54,993500.0
2026-07-07T22:10:33,1419,新紡,TSE,DayTrade.Yes,04,68.3,75.1,61.5,68.3,68.3,66.0,66.0,65.8,66.0,136,9049300.0
2026-07-07T22:10:33,1423,利華,TSE,DayTrade.Yes,04,36.65,40.3,33.0,36.8,37.2,36.7,37.1,36.9,37.0,14,515300.0
2026-07-07T22:10:33,1432,大魯閣,TSE,DayTrade.Yes,37,15.3,16.8,13.8,15.3,15.3,15.15,15.15,15.15,15.2,290,4408200.0
2026-07-07T22:10:33,1434,福懋,TSE,DayTrade.Yes,04,18.95,20.8,17.1,19.0,19.0,18.05,18.15,18.1,18.15,7751,142418150.0
2026-07-07T22:10:33,1435,中福,TSE,DayTrade.No,20,26.8,29.45,24.15,26.8,29.45,26.6,26.8,26.8,28.8,100,2752650.0
2026-07-07T22:10:33,1436,華友聯,TSE,DayTrade.Yes,14,45.6,50.1,41.05,45.95,46.15,45.1,45.15,45.1,45.25,496,22654100.0
2026-07-07T22:10:33,1437,勤益控,TSE,DayTrade.Yes,20,31.55,34.7,28.4,31.55,31.55,30.7,30.8,30.7,30.85,167,5190700.0
2026-07-07T22:10:33,1438,三地開發,TSE,DayTrade.Yes,14,22.2,24.4,20.0,22.7,22.7,21.9,22.3,22.1,22.35,52,1148950.0
2026-07-07T22:10:33,1439,雋揚,TSE,DayTrade.Yes,14,24.2,26.6,21.8,24.3,24.3,24.0,24.2,24.1,24.25,3,72500.0
2026-07-07T22:10:33,1440,南紡,TSE,DayTrade.Yes,04,14.6,16.05,13.15,14.9,15.0,14.25,14.3,14.25,14.3,6119,89070400.0
2026-07-07T22:10:33,1441,大東,TSE,DayTrade.No,04,9.55,10.5,8.6,9.54,9.54,9.36,9.36,9.36,9.44,29,274740.0
2026-07-07T22:10:33,1442,名軒,TSE,DayTrade.Yes,14,28.7,31.55,25.85,28.9,28.95,28.25,28.4,28.3,28.4,278,7923600.0
2026-07-07T22:10:33,1443,立益物流,TSE,DayTrade.Yes,20,26.4,29.0,23.8,26.6,26.7,26.55,26.7,26.4,26.75,3,79850.0
