ts,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount
2026-07-06T17:48:30,1101,台泥,TSE,DayTrade.Yes,01,23.65,26.0,21.3,23.8,23.9,23.65,23.7,23.65,23.7,15731,373668350.0
2026-07-06T17:48:30,1102,亞泥,TSE,DayTrade.Yes,01,36.45,40.05,32.85,36.5,36.9,36.4,36.55,36.55,36.6,11461,421170100.0
2026-07-06T17:48:30,1103,嘉泥,TSE,DayTrade.Yes,01,13.65,15.0,12.3,13.7,13.8,13.65,13.75,13.7,13.75,348,4785150.0
2026-07-06T17:48:30,1104,環泥,TSE,DayTrade.Yes,01,27.4,30.1,24.7,27.35,27.75,27.35,27.55,27.55,27.6,775,21345500.0
2026-07-06T17:48:30,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.95,14.15,13.95,14.1,14.05,14.1,495,6946250.0
2026-07-06T17:48:30,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.75,14.8,14.7,14.8,14.75,14.8,80,1180450.0
2026-07-06T17:48:30,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.95,17.5,14.4,16.0,16.3,15.9,15.9,15.85,16.05,452,7278900.0
2026-07-06T17:48:30,1201,味全,TSE,DayTrade.Yes,02,12.65,13.9,11.4,12.8,12.8,12.6,12.7,12.7,12.75,876,11122950.0
2026-07-06T17:48:30,1203,味王,TSE,DayTrade.Yes,02,43.35,47.65,39.05,42.45,42.95,42.4,42.9,42.55,43.3,22,937000.0
2026-07-06T17:48:30,1210,大成,TSE,DayTrade.Yes,02,58.0,63.8,52.2,58.1,59.5,58.1,58.8,58.8,58.9,3862,228208900.0
2026-07-06T17:48:30,1213,大飲,TSE,DayTrade.No,02,7.9,8.69,7.11,7.5,7.67,7.39,7.58,7.42,7.57,89,668700.0
2026-07-06T17:48:30,1215,卜蜂,TSE,DayTrade.Yes,02,112.5,123.5,101.5,112.5,113.0,110.5,113.0,112.5,113.0,1765,197442500.0
2026-07-06T17:48:30,1216,統一,TSE,DayTrade.Yes,02,76.3,83.9,68.7,76.4,78.4,76.4,77.8,77.7,77.8,22422,1744276800.0
2026-07-06T17:48:30,1217,愛之味,TSE,DayTrade.Yes,02,10.15,11.15,9.14,10.2,10.25,10.1,10.2,10.15,10.2,1121,11396350.0
2026-07-06T17:48:30,1218,泰山,TSE,DayTrade.Yes,02,17.35,19.05,15.65,17.2,17.3,17.1,17.3,17.25,17.3,1026,17692350.0
2026-07-06T17:48:30,1219,福壽,TSE,DayTrade.Yes,02,12.4,13.6,11.2,12.2,12.4,12.2,12.35,12.3,12.35,1426,17523450.0
2026-07-06T17:48:30,1220,台榮,TSE,DayTrade.Yes,02,11.85,13.0,10.7,11.9,11.9,11.75,11.85,11.85,11.9,57,673900.0
2026-07-06T17:48:30,1225,福懋油,TSE,DayTrade.Yes,02,28.65,31.5,25.8,28.3,28.45,27.85,28.05,28.0,28.1,419,11746650.0
2026-07-06T17:48:30,1227,佳格,TSE,DayTrade.Yes,02,30.0,33.0,27.0,30.2,30.65,30.2,30.65,30.55,30.65,2834,86333800.0
2026-07-06T17:48:30,1229,聯華,TSE,DayTrade.OnlyBuy,02,43.75,48.1,39.4,43.75,44.2,43.6,43.7,43.65,43.7,4883,214230550.0
2026-07-06T17:48:30,1231,聯華食,TSE,DayTrade.Yes,02,88.5,97.3,79.7,88.5,89.9,88.1,89.1,89.0,89.1,389,34664700.0
2026-07-06T17:48:30,1232,大統益,TSE,DayTrade.Yes,02,146.5,161.0,132.0,152.0,154.0,148.5,149.0,149.0,149.5,910,137419000.0
2026-07-06T17:48:30,1233,天仁,TSE,DayTrade.Yes,02,28.2,31.0,25.4,28.15,28.3,28.0,28.15,28.0,28.3,35,983350.0
2026-07-06T17:48:30,1234,黑松,TSE,DayTrade.Yes,02,33.15,36.45,29.85,33.2,33.35,33.15,33.35,33.25,33.35,88,2925950.0
2026-07-06T17:48:30,1235,興泰,TSE,DayTrade.Yes,02,37.0,40.7,33.3,36.9,36.9,36.6,36.9,36.8,36.9,302,11128600.0
2026-07-06T17:48:30,1236,宏亞,TSE,DayTrade.OnlyBuy,02,25.6,28.15,23.05,25.75,25.8,25.5,25.55,25.5,25.55,84,2153700.0
2026-07-06T17:48:30,1256,鮮活果汁-KY,TSE,DayTrade.OnlyBuy,02,193.0,212.0,174.0,199.0,203.0,193.5,199.0,198.0,199.0,162,32190500.0
2026-07-06T17:48:30,1301,台塑,TSE,DayTrade.Yes,03,62.1,68.3,55.9,63.2,63.3,60.0,60.4,60.4,60.5,75450,4627391500.0
2026-07-06T17:48:30,1303,南亞,TSE,DayTrade.No,03,197.0,216.5,177.5,200.0,200.0,181.0,185.0,184.5,185.0,24417,4630433500.0
2026-07-06T17:48:30,1304,台聚,TSE,DayTrade.Yes,03,15.5,17.05,13.95,15.8,15.8,14.45,14.7,14.65,14.7,31686,472077050.0
2026-07-06T17:48:30,1305,華夏,TSE,DayTrade.Yes,03,14.85,16.3,13.4,14.65,14.65,14.0,14.1,14.05,14.1,8331,118669900.0
2026-07-06T17:48:30,1307,三芳,TSE,DayTrade.OnlyBuy,03,33.6,36.95,30.25,33.6,34.7,32.95,33.15,33.15,33.2,2733,92048150.0
2026-07-06T17:48:30,1308,亞聚,TSE,DayTrade.Yes,03,15.85,17.4,14.3,16.8,17.0,15.1,15.5,15.45,15.5,17721,279738500.0
2026-07-06T17:48:30,1309,台達化,TSE,DayTrade.Yes,03,16.7,18.35,15.05,16.6,16.6,15.4,15.6,15.6,15.65,16624,264401350.0
2026-07-06T17:48:30,1310,台苯,TSE,DayTrade.Yes,03,11.4,12.5,10.3,12.05,12.45,11.65,11.8,11.8,11.85,38419,459454050.0
2026-07-06T17:48:30,1312,國喬,TSE,DayTrade.Yes,03,15.1,16.6,13.6,15.0,15.05,14.1,14.15,14.15,14.2,45732,661800150.0
2026-07-06T17:48:30,1313,聯成,TSE,DayTrade.Yes,03,14.3,15.7,12.9,14.5,14.5,13.4,13.55,13.5,13.55,35006,485706500.0
2026-07-06T17:48:30,1314,中石化,TSE,DayTrade.Yes,03,9.88,10.85,8.9,10.5,10.7,9.5,10.4,10.35,10.4,368126,3704351650.0
2026-07-06T17:48:30,1315,達新,TSE,DayTrade.Yes,03,64.0,70.4,57.6,65.0,65.0,63.8,64.3,64.2,64.3,19,1217500.0
2026-07-06T17:48:30,1316,上曜,TSE,DayTrade.Yes,14,10.95,12.0,9.86,11.25,11.25,10.75,10.75,10.75,10.8,2528,27689850.0
2026-07-06T17:48:30,1319,東陽,TSE,DayTrade.Yes,12,77.2,84.9,69.5,78.0,78.3,77.1,78.0,77.9,78.0,3419,266188200.0
2026-07-06T17:48:30,1321,大洋,TSE,DayTrade.Yes,03,31.9,35.05,28.75,32.15,32.3,31.6,32.1,32.05,32.1,167,5317600.0
2026-07-06T17:48:30,1323,永裕,TSE,DayTrade.Yes,03,20.45,22.45,18.45,20.65,20.7,20.3,20.5,20.5,20.55,227,4641650.0
2026-07-06T17:48:30,1324,地球,TSE,DayTrade.Yes,03,10.85,11.9,9.77,11.0,11.0,10.6,10.6,10.6,10.75,151,1629050.0
2026-07-06T17:48:30,1325,恆大,TSE,DayTrade.Yes,03,25.35,27.85,22.85,25.35,25.6,25.2,25.35,25.3,25.35,127,3220050.0
2026-07-06T17:48:30,1326,台化,TSE,DayTrade.Yes,03,68.0,74.8,61.2,72.8,73.0,67.2,67.6,67.6,67.7,129129,8901557700.0
2026-07-06T17:48:30,1337,再生-KY,TSE,DayTrade.Yes,03,5.61,6.17,5.05,5.67,6.0,5.45,5.55,5.52,5.55,3974,22432280.0
2026-07-06T17:48:30,1338,廣華-KY,TSE,DayTrade.OnlyBuy,12,17.6,19.35,15.85,17.75,17.8,17.55,17.65,17.6,17.65,116,2046100.0
2026-07-06T17:48:30,1339,昭輝,TSE,DayTrade.Yes,12,44.75,49.2,40.3,45.3,45.8,45.0,45.45,45.35,45.5,226,10271000.0
2026-07-06T17:48:30,1340,勝悅-KY,TSE,DayTrade.Yes,03,5.84,6.42,5.26,5.9,6.21,5.81,5.83,5.83,5.85,1086,6447320.0
2026-07-06T17:48:30,1341,富林-KY,TSE,DayTrade.No,03,58.5,64.3,52.7,58.5,58.5,57.7,57.7,57.6,58.4,8,465900.0
2026-07-06T17:48:30,1342,八貫,TSE,DayTrade.Yes,20,115.5,127.0,104.0,115.5,117.5,114.5,116.5,116.5,117.0,565,65475500.0
2026-07-06T17:48:30,1402,遠東新,TSE,DayTrade.Yes,04,29.1,32.0,26.2,29.3,29.8,29.05,29.1,29.1,29.15,12508,367460800.0
2026-07-06T17:48:30,1409,新纖,TSE,DayTrade.Yes,04,31.0,34.1,27.9,34.1,34.1,29.5,30.25,30.25,30.3,144572,4553432850.0
2026-07-06T17:48:30,1410,南染,TSE,DayTrade.Yes,04,25.65,28.2,23.1,25.65,26.45,25.5,26.2,26.0,26.25,418,10865450.0
2026-07-06T17:48:30,1413,宏洲,TSE,DayTrade.No,04,9.56,10.5,8.61,9.47,9.56,9.04,9.5,9.37,9.52,63,588890.0
