watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch,3,5309,系統電,OTC,"daytrade,overnight,weekly","B,A,B",79.0,78.1,68.9,70.62,68.49,1495.0,2.16,6.0,14233,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,short_trend_up,strong_momentum,volume_expansion"
core_watch,3,6282,康舒,TSE,"daytrade,overnight,weekly","B,B,B",77.7,77.5,59.8,61.29,59.44,1295.0,2.17,2.57,32119,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,short_trend_up,volume_expansion"
core_watch,3,6456,GIS-KY,TSE,"daytrade,overnight,weekly","A,A,B",77.3,71.2,71.2,72.98,70.77,1547.0,2.17,6.11,7449,"above_ma10,above_ma5,above_open,daily_close_near_high,five_day_price_up,near_day_high,strong_momentum"
core_watch,3,8926,台汽電,TSE,"daytrade,overnight,weekly","B,A,B",76.9,72.5,81.0,83.02,80.51,1755.0,2.17,8.0,12735,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,near_day_high,strong_momentum,volume_expansion"
core_watch,3,8070,長華*,TSE,"daytrade,overnight,weekly","B,B,B",76.0,72.5,57.2,58.63,56.86,1243.0,2.17,2.14,12100,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,volume_expansion"
core_watch,3,3004,豐達科,TSE,"daytrade,overnight,weekly","B,B,B",75.9,75.3,159.5,163.49,158.54,3469.0,2.17,6.33,4296,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
core_watch,3,1514,亞力,TSE,"daytrade,overnight,weekly","B,B,B",75.9,75.3,126.5,129.66,125.74,2746.0,2.16,2.85,14891,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
core_watch,3,2542,興富發,TSE,"daytrade,overnight,weekly","B,B,B",74.7,74.0,45.0,46.12,44.73,973.0,2.17,3.09,13061,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,near_day_high,short_trend_up"
core_watch,3,2890,永豐金,TSE,"daytrade,overnight,weekly","B,B,B",74.7,74.0,41.0,42.02,40.75,886.0,2.17,3.27,35707,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
core_watch,3,1717,長興,TSE,"daytrade,overnight,weekly","B,B,B",74.2,72.6,85.4,87.53,84.89,1851.0,2.17,4.66,102492,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum"
core_watch,3,3481,群創,TSE,"daytrade,overnight,weekly","B,B,B",74.2,72.6,69.2,70.93,68.78,1504.0,2.17,4.85,517136,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
core_watch,3,1504,東元,TSE,"daytrade,overnight,weekly","B,B,B",73.8,70.0,73.1,74.93,72.66,1591.0,2.17,4.43,28447,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,strong_momentum,volume_expansion"
core_watch,3,2637,慧洋-KY,TSE,"daytrade,overnight,weekly","B,B,B",73.4,70.0,78.4,80.36,77.93,1704.0,2.17,5.52,3794,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,near_day_high,strong_momentum,volume_expansion"
core_watch,3,1216,統一,TSE,"daytrade,overnight,weekly","B,B,B",72.5,72.5,77.8,79.74,77.33,1686.0,2.17,1.97,22422,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
priority_watch,2,3265,台星科,OTC,"overnight,weekly","B,B",76.2,76.2,192.5,202.12,189.61,8676.0,2.17,4.05,2667,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
priority_watch,2,4743,合一,OTC,"overnight,weekly","B,B",75.0,73.8,59.7,62.69,58.8,2697.0,2.17,4.19,16579,"above_ma10,above_ma20,above_ma5,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,strong_momentum,volume_expansion"
priority_watch,2,1711,永光,TSE,"daytrade,overnight","B,B",74.5,74.0,47.35,48.53,47.07,1025.0,2.3,3.61,18681,"above_ma10,above_ma5,above_open,volume_expansion"
priority_watch,2,6202,盛群,TSE,"daytrade,overnight","B,B",74.5,74.0,69.1,70.83,68.69,1504.0,2.29,3.13,10034,"above_ma10,above_ma5,above_open,volume_expansion"
priority_watch,2,8096,擎亞,OTC,"overnight,weekly","B,B",73.8,73.8,167.5,175.88,164.99,7559.0,2.17,6.35,3875,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,ma_alignment,near_day_high,short_trend_up"
priority_watch,2,6505,台塑化,TSE,"overnight,weekly","B,B",73.8,72.5,59.5,62.48,58.61,2688.0,2.16,1.02,18491,"above_ma10,above_ma20,above_ma5,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up"
priority_watch,2,2312,金寶,TSE,"overnight,weekly","B,B",73.2,72.5,35.55,37.33,35.02,1606.0,2.16,2.01,21661,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up"
priority_watch,2,2436,偉詮電,TSE,"daytrade,overnight","B,B",72.5,72.5,77.7,79.64,77.23,1686.0,2.29,2.37,8478,"above_ma10,above_ma5,above_open,volume_expansion"
priority_watch,2,6477,安集,TSE,"overnight,weekly","B,B",72.5,72.5,39.05,41.0,38.46,1759.0,2.17,5.83,6913,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high"
priority_watch,2,6548,長科*,OTC,"overnight,weekly","B,B",72.5,71.2,94.2,98.91,92.79,4248.0,2.17,2.84,24369,"above_ma10,above_ma20,above_ma5,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
priority_watch,2,2609,陽明,TSE,"overnight,weekly","B,B",72.5,70.0,53.0,55.65,52.2,2390.0,2.17,1.15,19224,"above_ma10,above_ma20,above_ma5,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
priority_watch,2,2329,華泰,TSE,"daytrade,overnight","B,B",71.8,71.2,54.6,55.96,54.27,1182.0,2.29,3.02,9746,"above_ma10,above_ma5,above_open,volume_expansion"
priority_watch,2,3005,神基,TSE,"overnight,weekly","B,B",70.6,70.0,110.0,115.5,108.35,4961.0,2.17,2.8,8017,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,short_trend_up"
priority_watch,2,2402,毅嘉,TSE,"overnight,weekly","B,B",70.0,70.0,69.1,72.55,68.06,3111.0,2.17,2.37,5464,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
priority_watch,2,6547,高端疫苗,OTC,"overnight,weekly","B,B",70.0,70.0,48.0,50.4,47.28,2165.0,2.17,3.56,7470,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,short_trend_up,volume_expansion"
priority_watch,2,6841,長佳智能,OTC,"overnight,weekly","B,B",70.0,70.0,66.4,69.72,65.4,2994.0,2.17,4.4,1610,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up,volume_expansion"
priority_watch,2,2880,華南金,TSE,"overnight,weekly","B,B",70.0,70.0,38.25,40.16,37.68,1722.0,2.16,1.59,12000,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
